id,user_id,date,type,description,amount,category,bank,source,created_at,updated_at,business_unit_id,is_recurring,recurring_template_id,recurring_status,credit_card,is_installment,installment_number,total_installments,installment_group_id,needs_review,imported_from,installment_start_month,installment_end_month
eb4ef114-922a-416c-bc9b-286b4392bc26,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-05-30,saida,Aluguel Junho 2025,2893.94,Apartamento,C6 BANK,,2025-06-01 12:45:56.722543+00,2025-06-01 12:45:56.722543+00,,f,,,,f,,,,f,,,
d198c12a-96b4-49fd-860a-c967ec3ac2fc,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-06-02,saida,Costela - Almoço Laura Domingo,97.00,Comida,C6 BANK,,2025-06-01 14:59:50.950133+00,2025-06-01 14:59:50.950133+00,,f,,,,f,,,,f,,,
3beb4adc-fabc-498c-847a-30f10fb4ff90,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-06-02,entrada,Ajuste Caixa Conta Simples,372.03,Outras receitas,CONTA SIMPLES,,2025-06-01 22:13:24.850866+00,2025-06-01 22:13:24.850866+00,,f,,,,f,,,,f,,,
3bca1e7d-5673-43df-a919-accb41630b02,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-06-09,saida,Pagamento cartão da empresa,462.13,Escritório,CONTA SIMPLES,,2025-06-01 22:20:22.896536+00,2025-06-01 22:20:22.896536+00,,f,,,,f,,,,f,,,
272ff99a-19f6-4e6d-a26c-2753db434c2a,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-06-02,saida,Ultra Gaz,190.93,Apartamento,C6 BANK,,2025-06-01 22:30:56.69313+00,2025-06-01 22:30:56.69313+00,,f,,,,f,,,,f,,,
68ad4289-7659-4f75-b466-6a2cdf0676bc,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-06-01,saida,Energia Elétrica Copel,60.87,Apartamento,C6 BANK,,2025-06-01 22:32:43.021652+00,2025-06-01 22:32:43.021652+00,,f,,,,f,,,,f,,,
17021bf0-afc9-4712-b4ba-14922c867ae2,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-06-01,saida,Internet Vivo Apartamento,156.00,Apartamento,C6 BANK,,2025-06-01 22:39:49.185204+00,2025-06-01 22:39:49.185204+00,,f,,,,f,,,,f,,,
78f84e5b-0053-4e89-b97a-b8b95661e4ce,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-06-02,saida,Alexa Amazon,429.00,Itens Físicos,C6 BANK,,2025-06-02 13:20:19.461366+00,2025-06-02 13:20:19.461366+00,,f,,,,f,,,,f,,,
8cad90a0-c8d8-4b41-9d36-38ca99d143e5,a3b12ed2-9440-40d9-9293-3c20e778dd74,2025-06-15,saida,Decathlon,160.94,Vida esportiva,C6 BANK,,2025-06-15 16:04:55.35653+00,2025-06-15 16:04:55.35653+00,,f,,,,f,,,,f,,,
2047cb96-e1f4-4595-bd36-d1c150d9d42f,26bac8f5-5b37-4151-a95c-247251b8556d,2025-06-06,saida,cacau show,33.94,Comida,NUBANK,,2025-06-15 17:01:30.339114+00,2025-06-15 17:01:30.339114+00,,f,,,,f,,,,f,,,
